asset_id,archive,nested_archive,original_path,original_filename,extension,byte_size,width,height,aspect_ratio,file_hash_sha256,perceptual_hash,project,course,source_type,evidence_status,contains_person,contains_personal_information,contains_student_id,contains_local_path,contains_third_party_material,text_readability,technical_relevance,evidence_strength,readability_score,resolution_score,privacy_safety,uniqueness,recruiter_value,selection_score,duplicate_group,preferred_source,publication_status,publication_reason,public_filename,github_readme,github_pages_ko,github_pages_en,notion_parent,notion_detail,caption_ko,caption_en,alt_ko,alt_en,source_page_or_sheet,public_locations
COU-671705ce8130,Coursework,,학부 과제 및 프로젝트/컨트롤로직설계/04. Introduction to VHDL.pdf::page-10::Image14.png,Image14.png,.png,1219,47,21,2.2381,671705ce8130f9c521cc5b3c7034d34ed0efa76772d74ccef33212b052a8c4b9,bcd2c52d96a3d20d,Controller Logic,Controller Logic,PDF Embedded Image,Embedded Source Visual,false,false,false,false,false,Unreadable/Unknown,5,3,1,2,5,5,3,24,EXACT-0291,COU-671705ce8130,Exact Duplicate,Byte-identical to preferred source COU-671705ce8130,,,,,,,Controller Logic의 Image14 — Embedded Source Visual,Image14 from Controller Logic — Embedded Source Visual,Controller Logic 과제의 Image14 기술 근거 화면,Technical evidence view named Image14 from the Controller Logic project,PDF page 10,
COU-4d464849c42f,Coursework,,학부 과제 및 프로젝트/컨트롤로직설계/04. Introduction to VHDL.pdf::page-10::Image72.jpg,Image72.jpg,.jpg,66602,806,535,1.5065,4d464849c42f0efceb917df7d4ac0eaf0e3f7b46840c26b4e65083ac33fdcb09,fca1a1ee45d4568a,Controller Logic,Controller Logic,PDF Embedded Image,Embedded Source Visual,false,false,false,false,false,Moderate,5,3,3,3,5,5,3,27,,,Publicly Withheld,"Lower-value, incomplete, redundant-context, or unverified visual",,,,,,,Controller Logic의 Image72 — Embedded Source Visual,Image72 from Controller Logic — Embedded Source Visual,Controller Logic 과제의 Image72 기술 근거 화면,Technical evidence view named Image72 from the Controller Logic project,PDF page 10,
COU-671705ce8130,Coursework,,학부 과제 및 프로젝트/컨트롤로직설계/04. Introduction to VHDL.pdf::page-11::Image14.png,Image14.png,.png,1219,47,21,2.2381,671705ce8130f9c521cc5b3c7034d34ed0efa76772d74ccef33212b052a8c4b9,bcd2c52d96a3d20d,Controller Logic,Controller Logic,PDF Embedded Image,Embedded Source Visual,false,false,false,false,false,Unreadable/Unknown,5,3,1,2,5,5,3,24,EXACT-0291,COU-671705ce8130,Exact Duplicate,Byte-identical to preferred source COU-671705ce8130,,,,,,,Controller Logic의 Image14 — Embedded Source Visual,Image14 from Controller Logic — Embedded Source Visual,Controller Logic 과제의 Image14 기술 근거 화면,Technical evidence view named Image14 from the Controller Logic project,PDF page 11,
COU-ab634bfa9415,Coursework,,학부 과제 및 프로젝트/컨트롤로직설계/04. Introduction to VHDL.pdf::page-11::Image78.jpg,Image78.jpg,.jpg,12531,253,328,0.7713,ab634bfa94151d34f7548eb70f328bb39c67202fb025893dc24a78c90e4ec428,aaf56e2c48ed10f1,Controller Logic,Controller Logic,PDF Embedded Image,Embedded Source Visual,false,false,false,false,false,Low,5,3,2,2,5,5,3,25,,,Publicly Withheld,"Lower-value, incomplete, redundant-context, or unverified visual",,,,,,,Controller Logic의 Image78 — Embedded Source Visual,Image78 from Controller Logic — Embedded Source Visual,Controller Logic 과제의 Image78 기술 근거 화면,Technical evidence view named Image78 from the Controller Logic project,PDF page 11,
COU-ea1b4fd2dcef,Coursework,,학부 과제 및 프로젝트/컨트롤로직설계/04. Introduction to VHDL.pdf::page-11::Image79.jpg,Image79.jpg,.jpg,27263,461,400,1.1525,ea1b4fd2dcef4d085c1a7aa1723df0856e08b547b3812bf182580a16343a9a19,885bb8ac538c8f9b,Controller Logic,Controller Logic,PDF Embedded Image,Embedded Source Visual,false,false,false,false,false,Moderate,5,3,3,2,5,5,3,26,,,Publicly Withheld,"Lower-value, incomplete, redundant-context, or unverified visual",,,,,,,Controller Logic의 Image79 — Embedded Source Visual,Image79 from Controller Logic — Embedded Source Visual,Controller Logic 과제의 Image79 기술 근거 화면,Technical evidence view named Image79 from the Controller Logic project,PDF page 11,
COU-671705ce8130,Coursework,,학부 과제 및 프로젝트/컨트롤로직설계/04. Introduction to VHDL.pdf::page-12::Image14.png,Image14.png,.png,1219,47,21,2.2381,671705ce8130f9c521cc5b3c7034d34ed0efa76772d74ccef33212b052a8c4b9,bcd2c52d96a3d20d,Controller Logic,Controller Logic,PDF Embedded Image,Embedded Source Visual,false,false,false,false,false,Unreadable/Unknown,5,3,1,2,5,5,3,24,EXACT-0291,COU-671705ce8130,Exact Duplicate,Byte-identical to preferred source COU-671705ce8130,,,,,,,Controller Logic의 Image14 — Embedded Source Visual,Image14 from Controller Logic — Embedded Source Visual,Controller Logic 과제의 Image14 기술 근거 화면,Technical evidence view named Image14 from the Controller Logic project,PDF page 12,
COU-671705ce8130,Coursework,,학부 과제 및 프로젝트/컨트롤로직설계/04. Introduction to VHDL.pdf::page-13::Image14.png,Image14.png,.png,1219,47,21,2.2381,671705ce8130f9c521cc5b3c7034d34ed0efa76772d74ccef33212b052a8c4b9,bcd2c52d96a3d20d,Controller Logic,Controller Logic,PDF Embedded Image,Embedded Source Visual,false,false,false,false,false,Unreadable/Unknown,5,3,1,2,5,5,3,24,EXACT-0291,COU-671705ce8130,Exact Duplicate,Byte-identical to preferred source COU-671705ce8130,,,,,,,Controller Logic의 Image14 — Embedded Source Visual,Image14 from Controller Logic — Embedded Source Visual,Controller Logic 과제의 Image14 기술 근거 화면,Technical evidence view named Image14 from the Controller Logic project,PDF page 13,
COU-671705ce8130,Coursework,,학부 과제 및 프로젝트/컨트롤로직설계/04. Introduction to VHDL.pdf::page-14::Image14.png,Image14.png,.png,1219,47,21,2.2381,671705ce8130f9c521cc5b3c7034d34ed0efa76772d74ccef33212b052a8c4b9,bcd2c52d96a3d20d,Controller Logic,Controller Logic,PDF Embedded Image,Embedded Source Visual,false,false,false,false,false,Unreadable/Unknown,5,3,1,2,5,5,3,24,EXACT-0291,COU-671705ce8130,Exact Duplicate,Byte-identical to preferred source COU-671705ce8130,,,,,,,Controller Logic의 Image14 — Embedded Source Visual,Image14 from Controller Logic — Embedded Source Visual,Controller Logic 과제의 Image14 기술 근거 화면,Technical evidence view named Image14 from the Controller Logic project,PDF page 14,
COU-eed984daad9e,Coursework,,학부 과제 및 프로젝트/컨트롤로직설계/04. Introduction to VHDL.pdf::page-14::Image88.png,Image88.png,.png,2482,182,78,2.3333,eed984daad9e50010763c17bc9a619a0021dab3ee3389b2607850348f78e10d6,ac4b21e9616d99ae,Controller Logic,Controller Logic,PDF Embedded Image,Embedded Source Visual,false,false,false,false,false,Unreadable/Unknown,5,3,1,2,5,5,3,24,,,Publicly Withheld,"Lower-value, incomplete, redundant-context, or unverified visual",,,,,,,Controller Logic의 Image88 — Embedded Source Visual,Image88 from Controller Logic — Embedded Source Visual,Controller Logic 과제의 Image88 기술 근거 화면,Technical evidence view named Image88 from the Controller Logic project,PDF page 14,
COU-671705ce8130,Coursework,,학부 과제 및 프로젝트/컨트롤로직설계/04. Introduction to VHDL.pdf::page-15::Image14.png,Image14.png,.png,1219,47,21,2.2381,671705ce8130f9c521cc5b3c7034d34ed0efa76772d74ccef33212b052a8c4b9,bcd2c52d96a3d20d,Controller Logic,Controller Logic,PDF Embedded Image,Embedded Source Visual,false,false,false,false,false,Unreadable/Unknown,5,3,1,2,5,5,3,24,EXACT-0291,COU-671705ce8130,Exact Duplicate,Byte-identical to preferred source COU-671705ce8130,,,,,,,Controller Logic의 Image14 — Embedded Source Visual,Image14 from Controller Logic — Embedded Source Visual,Controller Logic 과제의 Image14 기술 근거 화면,Technical evidence view named Image14 from the Controller Logic project,PDF page 15,
