source_id,subject,relative_path,decision,public_action,reason
SRC-0001,VRET (withheld),[WITHHELD]/VRET-0001.hwp,PRIVATE_OR_CONFIDENTIAL,Withhold; prepare redacted draft only after review.,Industry R&D material; withheld pending explicit disclosure review and redaction.
SRC-0002,VRET (withheld),[WITHHELD]/VRET-0002.docx,PRIVATE_OR_CONFIDENTIAL,Withhold; prepare redacted draft only after review.,Industry R&D material; withheld pending explicit disclosure review and redaction.
SRC-0003,VRET (withheld),[WITHHELD]/VRET-0003.pdf,PRIVATE_OR_CONFIDENTIAL,Withhold; prepare redacted draft only after review.,Industry R&D material; withheld pending explicit disclosure review and redaction.
SRC-0004,VRET (withheld),[WITHHELD]/VRET-0004.pdf,PRIVATE_OR_CONFIDENTIAL,Withhold; prepare redacted draft only after review.,Industry R&D material; withheld pending explicit disclosure review and redaction.
SRC-0005,VRET (withheld),[WITHHELD]/VRET-0005.xlsx,PRIVATE_OR_CONFIDENTIAL,Withhold; prepare redacted draft only after review.,Industry R&D material; withheld pending explicit disclosure review and redaction.
SRC-0006,VRET (withheld),[WITHHELD]/VRET-0006.txt,PRIVATE_OR_CONFIDENTIAL,Withhold; prepare redacted draft only after review.,Industry R&D material; withheld pending explicit disclosure review and redaction.
SRC-0007,VRET (withheld),[WITHHELD]/VRET-0007.hwpx,PRIVATE_OR_CONFIDENTIAL,Withhold; prepare redacted draft only after review.,Industry R&D material; withheld pending explicit disclosure review and redaction.
SRC-0008,VRET (withheld),[WITHHELD]/VRET-0008.hwpx,PRIVATE_OR_CONFIDENTIAL,Withhold; prepare redacted draft only after review.,Industry R&D material; withheld pending explicit disclosure review and redaction.
SRC-0009,VRET (withheld),[WITHHELD]/VRET-0009.hwpx,PRIVATE_OR_CONFIDENTIAL,Withhold; prepare redacted draft only after review.,Industry R&D material; withheld pending explicit disclosure review and redaction.
SRC-0010,고주파공학,Cadence Tutorial (3).pdf,THIRD_PARTY,Cite bibliographically; do not copy full asset.,"Lecture/tutorial/teammate/government reference; cite, do not republish."
SRC-0011,고주파공학,Cadence Tutorial2 (1).pdf,THIRD_PARTY,Cite bibliographically; do not copy full asset.,"Lecture/tutorial/teammate/government reference; cite, do not republish."
SRC-0012,고주파공학,고주파공학 1분반_homework2_[STUDENT-ID]_[AUTHOR].pdf,PUBLIC_USED,Curate into case study with source label/redaction.,"Primary student-authored report, source, calculation, or visual evidence."
SRC-0013,고주파공학,고주파공학 1분반_homework4_[STUDENT-ID]_[AUTHOR].pdf,PUBLIC_USED,Curate into case study with source label/redaction.,"Primary student-authored report, source, calculation, or visual evidence."
SRC-0014,고주파공학,고주파공학 1분반_homework5_[STUDENT-ID]_[AUTHOR].pdf,PUBLIC_USED,Curate into case study with source label/redaction.,"Primary student-authored report, source, calculation, or visual evidence."
SRC-0015,고주파공학,사진\homework2\dessign1.png,PUBLIC_USED,Curate into case study with source label/redaction.,"Primary student-authored report, source, calculation, or visual evidence."
SRC-0016,고주파공학,사진\homework2\homework2.pdf,PUBLIC_USED,Curate into case study with source label/redaction.,"Primary student-authored report, source, calculation, or visual evidence."
SRC-0017,고주파공학,사진\homework2\KakaoTalk_20260414_221106302.png,PUBLIC_USED,Curate into case study with source label/redaction.,"Primary student-authored report, source, calculation, or visual evidence."
SRC-0018,고주파공학,사진\homework2\KakaoTalk_20260414_221117923.png,PUBLIC_USED,Curate into case study with source label/redaction.,"Primary student-authored report, source, calculation, or visual evidence."
SRC-0019,고주파공학,사진\homework2\KakaoTalk_20260414_221352505.png,PUBLIC_USED,Curate into case study with source label/redaction.,"Primary student-authored report, source, calculation, or visual evidence."
SRC-0020,고주파공학,사진\homework2\KakaoTalk_20260414_221403220.png,PUBLIC_USED,Curate into case study with source label/redaction.,"Primary student-authored report, source, calculation, or visual evidence."
SRC-0021,고주파공학,사진\homework2\KakaoTalk_20260414_221425558.png,PUBLIC_USED,Curate into case study with source label/redaction.,"Primary student-authored report, source, calculation, or visual evidence."
SRC-0022,고주파공학,사진\homework2\KakaoTalk_20260414_221451343.png,PUBLIC_USED,Curate into case study with source label/redaction.,"Primary student-authored report, source, calculation, or visual evidence."
SRC-0023,고주파공학,사진\homework2\KakaoTalk_20260414_221506800.png,PUBLIC_USED,Curate into case study with source label/redaction.,"Primary student-authored report, source, calculation, or visual evidence."
SRC-0024,고주파공학,사진\homework2\KakaoTalk_20260414_221514460.png,PUBLIC_USED,Curate into case study with source label/redaction.,"Primary student-authored report, source, calculation, or visual evidence."
SRC-0025,고주파공학,사진\homework2\KakaoTalk_20260414_221522227.png,PUBLIC_USED,Curate into case study with source label/redaction.,"Primary student-authored report, source, calculation, or visual evidence."
SRC-0026,고주파공학,사진\homework2\KakaoTalk_20260414_221548576.png,PUBLIC_USED,Curate into case study with source label/redaction.,"Primary student-authored report, source, calculation, or visual evidence."
SRC-0027,고주파공학,사진\homework2\고주파공학 1분반_homework2_[STUDENT-ID]_[AUTHOR].pdf,DUPLICATE,Do not republish duplicate bytes.,Exact SHA-256 duplicate of the canonical source record.
SRC-0028,고주파공학,사진\homework2\스크린샷 2026-04-14 222606.png,PUBLIC_USED,Curate into case study with source label/redaction.,"Primary student-authored report, source, calculation, or visual evidence."
SRC-0029,고주파공학,사진\homework2\합치기.hwpx,PUBLIC_USED,Curate into case study with source label/redaction.,"Primary student-authored report, source, calculation, or visual evidence."
SRC-0030,고주파공학,사진\homework4\ex5-1\1.png,PUBLIC_USED,Curate into case study with source label/redaction.,"Primary student-authored report, source, calculation, or visual evidence."
SRC-0031,고주파공학,사진\homework4\ex5-1\2.png,PUBLIC_USED,Curate into case study with source label/redaction.,"Primary student-authored report, source, calculation, or visual evidence."
SRC-0032,고주파공학,사진\homework4\ex5-1\3.png,PUBLIC_USED,Curate into case study with source label/redaction.,"Primary student-authored report, source, calculation, or visual evidence."
