source_id,subject,relative_path,parser,status,units,unit_count,text_chars,formula_count,table_count,embedded_visual_count,notes
SRC-0001,VRET (withheld),[WITHHELD]/VRET-0001.hwp,withheld,withheld,,,,,,,Content metadata withheld pending disclosure review.
SRC-0002,VRET (withheld),[WITHHELD]/VRET-0002.docx,withheld,withheld,,,,,,,Content metadata withheld pending disclosure review.
SRC-0003,VRET (withheld),[WITHHELD]/VRET-0003.pdf,withheld,withheld,,,,,,,Content metadata withheld pending disclosure review.
SRC-0004,VRET (withheld),[WITHHELD]/VRET-0004.pdf,withheld,withheld,,,,,,,Content metadata withheld pending disclosure review.
SRC-0005,VRET (withheld),[WITHHELD]/VRET-0005.xlsx,withheld,withheld,,,,,,,Content metadata withheld pending disclosure review.
SRC-0006,VRET (withheld),[WITHHELD]/VRET-0006.txt,withheld,withheld,,,,,,,Content metadata withheld pending disclosure review.
SRC-0007,VRET (withheld),[WITHHELD]/VRET-0007.hwpx,withheld,withheld,,,,,,,Content metadata withheld pending disclosure review.
SRC-0008,VRET (withheld),[WITHHELD]/VRET-0008.hwpx,withheld,withheld,,,,,,,Content metadata withheld pending disclosure review.
SRC-0009,VRET (withheld),[WITHHELD]/VRET-0009.hwpx,withheld,withheld,,,,,,,Content metadata withheld pending disclosure review.
SRC-0010,고주파공학,Cadence Tutorial (3).pdf,pypdf,parsed,pages,59,7774,,,338,
SRC-0011,고주파공학,Cadence Tutorial2 (1).pdf,pypdf,parsed,pages,77,10721,,,440,
SRC-0012,고주파공학,고주파공학 1분반_homework2_[STUDENT-ID]_[AUTHOR].pdf,pypdf,parsed,pages,12,2577,,,12,
SRC-0013,고주파공학,고주파공학 1분반_homework4_[STUDENT-ID]_[AUTHOR].pdf,pypdf,parsed,pages,21,4977,,,11,
SRC-0014,고주파공학,고주파공학 1분반_homework5_[STUDENT-ID]_[AUTHOR].pdf,pypdf,parsed,pages,21,8381,,,6,
SRC-0015,고주파공학,사진\homework2\dessign1.png,Pillow,parsed,pixels,143995,,,,1,929x155; mode=RGBA
SRC-0016,고주파공학,사진\homework2\homework2.pdf,pypdf,parsed,pages,3,478,,,11,
SRC-0017,고주파공학,사진\homework2\KakaoTalk_20260414_221106302.png,Pillow,parsed,pixels,673740,,,,1,985x684; mode=RGBA
SRC-0018,고주파공학,사진\homework2\KakaoTalk_20260414_221117923.png,Pillow,parsed,pixels,674804,,,,1,988x683; mode=RGBA
SRC-0019,고주파공학,사진\homework2\KakaoTalk_20260414_221352505.png,Pillow,parsed,pixels,576638,,,,1,802x719; mode=RGBA
SRC-0020,고주파공학,사진\homework2\KakaoTalk_20260414_221403220.png,Pillow,parsed,pixels,456950,,,,1,481x950; mode=RGBA
SRC-0021,고주파공학,사진\homework2\KakaoTalk_20260414_221425558.png,Pillow,parsed,pixels,455520,,,,1,480x949; mode=RGBA
SRC-0022,고주파공학,사진\homework2\KakaoTalk_20260414_221451343.png,Pillow,parsed,pixels,456950,,,,1,481x950; mode=RGBA
SRC-0023,고주파공학,사진\homework2\KakaoTalk_20260414_221506800.png,Pillow,parsed,pixels,453628,,,,1,476x953; mode=RGBA
SRC-0024,고주파공학,사진\homework2\KakaoTalk_20260414_221514460.png,Pillow,parsed,pixels,420750,,,,1,765x550; mode=RGBA
SRC-0025,고주파공학,사진\homework2\KakaoTalk_20260414_221522227.png,Pillow,parsed,pixels,427576,,,,1,776x551; mode=RGBA
SRC-0026,고주파공학,사진\homework2\KakaoTalk_20260414_221548576.png,Pillow,parsed,pixels,409252,,,,1,404x1013; mode=RGBA
SRC-0027,고주파공학,사진\homework2\고주파공학 1분반_homework2_[STUDENT-ID]_[AUTHOR].pdf,pypdf,parsed,pages,12,2577,,,12,
SRC-0028,고주파공학,사진\homework2\스크린샷 2026-04-14 222606.png,Pillow,parsed,pixels,813000,,,,1,1000x813; mode=RGBA
SRC-0029,고주파공학,사진\homework2\합치기.hwpx,HWPX XML,parsed,sections,1,2589,,,12,
SRC-0030,고주파공학,사진\homework4\ex5-1\1.png,Pillow,parsed,pixels,446424,,,,1,836x534; mode=RGBA
SRC-0031,고주파공학,사진\homework4\ex5-1\2.png,Pillow,parsed,pixels,597780,,,,1,972x615; mode=RGBA
SRC-0032,고주파공학,사진\homework4\ex5-1\3.png,Pillow,parsed,pixels,649740,,,,1,980x663; mode=RGBA
SRC-0033,고주파공학,사진\homework4\ex5-1\4.png,Pillow,parsed,pixels,652732,,,,1,986x662; mode=RGBA
SRC-0034,고주파공학,사진\homework4\ex5-1\5.png,Pillow,parsed,pixels,1693744,,,,1,1916x884; mode=RGBA
SRC-0035,고주파공학,사진\homework4\ex5-1\design ex5-6.png,Pillow,parsed,pixels,191675,,,,1,1025x187; mode=RGBA
SRC-0036,고주파공학,사진\homework4\ex5-1\회로도.png,Pillow,parsed,pixels,443700,,,,1,1020x435; mode=RGBA
SRC-0037,고주파공학,사진\homework4\ex5-2\db20sol1.PNG,Pillow,parsed,pixels,780704,,,,1,992x787; mode=RGBA
SRC-0038,고주파공학,사진\homework4\ex5-2\db20sol2.PNG,Pillow,parsed,pixels,672072,,,,1,984x683; mode=RGBA
SRC-0039,고주파공학,사진\homework4\ex5-2\design ex5-7.png,Pillow,parsed,pixels,187000,,,,1,1000x187; mode=RGBA
SRC-0040,고주파공학,사진\homework4\ex5-2\main sol1.PNG,Pillow,parsed,pixels,729525,,,,1,1065x685; mode=RGBA
SRC-0041,고주파공학,사진\homework4\ex5-2\main sol2.PNG,Pillow,parsed,pixels,760026,,,,1,1286x591; mode=RGBA
SRC-0042,고주파공학,사진\homework4\ex5-2\stub sol1.PNG,Pillow,parsed,pixels,677115,,,,1,1101x615; mode=RGBA
SRC-0043,고주파공학,사진\homework4\ex5-2\stub sol2.PNG,Pillow,parsed,pixels,834288,,,,1,1092x764; mode=RGBA
SRC-0044,고주파공학,사진\homework4\ex5-2\회로도.PNG,Pillow,parsed,pixels,464112,,,,1,879x528; mode=RGBA
SRC-0045,고주파공학,사진\homework4\homework 4.pdf,pypdf,parsed,pages,7,1974,,,16,
SRC-0046,고주파공학,사진\homework4\고주파공학 1분반_homework4_[STUDENT-ID]_[AUTHOR].pdf,pypdf,parsed,pages,21,4977,,,11,
SRC-0047,고주파공학,사진\homework4\합치기.hwpx,HWPX XML,parsed,sections,1,4661,,,11,
SRC-0048,고주파공학,사진\homework5\ex12-3(시뮬하다가 중단)\1.png,Pillow,parsed,pixels,836991,,,,1,1017x823; mode=RGBA
SRC-0049,고주파공학,사진\homework5\ex12-3(시뮬하다가 중단)\10.png,Pillow,parsed,pixels,682040,,,,1,1003x680; mode=RGBA
