source_id,subject,relative_path,extension,bytes,sha256,exact_duplicate_count,canonical_relative_path,classification,classification_reason
SRC-0001,VRET (withheld),[WITHHELD]/VRET-0001.hwp,.hwp,73242112,[WITHHELD],1,[WITHHELD],PRIVATE_OR_CONFIDENTIAL,Industry R&D material; withheld pending explicit disclosure review and redaction.
SRC-0002,VRET (withheld),[WITHHELD]/VRET-0002.docx,.docx,313042,[WITHHELD],1,[WITHHELD],PRIVATE_OR_CONFIDENTIAL,Industry R&D material; withheld pending explicit disclosure review and redaction.
SRC-0003,VRET (withheld),[WITHHELD]/VRET-0003.pdf,.pdf,1381812,[WITHHELD],1,[WITHHELD],PRIVATE_OR_CONFIDENTIAL,Industry R&D material; withheld pending explicit disclosure review and redaction.
SRC-0004,VRET (withheld),[WITHHELD]/VRET-0004.pdf,.pdf,751678,[WITHHELD],1,[WITHHELD],PRIVATE_OR_CONFIDENTIAL,Industry R&D material; withheld pending explicit disclosure review and redaction.
SRC-0005,VRET (withheld),[WITHHELD]/VRET-0005.xlsx,.xlsx,29287,[WITHHELD],1,[WITHHELD],PRIVATE_OR_CONFIDENTIAL,Industry R&D material; withheld pending explicit disclosure review and redaction.
SRC-0006,VRET (withheld),[WITHHELD]/VRET-0006.txt,.txt,5430,[WITHHELD],1,[WITHHELD],PRIVATE_OR_CONFIDENTIAL,Industry R&D material; withheld pending explicit disclosure review and redaction.
SRC-0007,VRET (withheld),[WITHHELD]/VRET-0007.hwpx,.hwpx,53670,[WITHHELD],1,[WITHHELD],PRIVATE_OR_CONFIDENTIAL,Industry R&D material; withheld pending explicit disclosure review and redaction.
SRC-0008,VRET (withheld),[WITHHELD]/VRET-0008.hwpx,.hwpx,25940,[WITHHELD],1,[WITHHELD],PRIVATE_OR_CONFIDENTIAL,Industry R&D material; withheld pending explicit disclosure review and redaction.
SRC-0009,VRET (withheld),[WITHHELD]/VRET-0009.hwpx,.hwpx,67134,[WITHHELD],1,[WITHHELD],PRIVATE_OR_CONFIDENTIAL,Industry R&D material; withheld pending explicit disclosure review and redaction.
SRC-0010,고주파공학,Cadence Tutorial (3).pdf,.pdf,7584100,b97a015c880b01759e4893bbbbff01fa044d65792081ec182205320ad7acac0f,1,학부 과제 및 프로젝트\고주파공학\Cadence Tutorial (3).pdf,THIRD_PARTY,"Lecture/tutorial/teammate/government reference; cite, do not republish."
