source_id,subject,relative_path,width,height,aspect_ratio,sha256,dhash,suggested_role,publication_decision,notes
SRC-0015,고주파공학,사진\homework2\dessign1.png,929,155,5.9935,25bc0d3dcf2347543acc52e870ee27a34c8639bce56db5e07bd136b53d72a4cc,003426291511c603,source screenshot,PUBLIC_USED,"Primary student-authored report, source, calculation, or visual evidence."
SRC-0017,고주파공학,사진\homework2\KakaoTalk_20260414_221106302.png,985,684,1.4401,21b383e608fbfc0ee7ec134b05792bee2d06e01b8332050518e58bd123eb0c77,a006466636168789,source screenshot,PUBLIC_USED,"Primary student-authored report, source, calculation, or visual evidence."
SRC-0018,고주파공학,사진\homework2\KakaoTalk_20260414_221117923.png,988,683,1.4466,ec8ba28f82e0a0b0a7bd53af15a9a5597704a277e9105e466c077dd3ead6f2b3,a002467212068389,source screenshot,PUBLIC_USED,"Primary student-authored report, source, calculation, or visual evidence."
SRC-0019,고주파공학,사진\homework2\KakaoTalk_20260414_221352505.png,802,719,1.1154,ff2c82c306c0eb8fe5ed4b00189bbbc13b13c86c6522cfe7578968287ed4e185,828692b038707070,source screenshot,PUBLIC_USED,"Primary student-authored report, source, calculation, or visual evidence."
SRC-0020,고주파공학,사진\homework2\KakaoTalk_20260414_221403220.png,481,950,0.5063,6a0c31dceb3ef0ce5c718042697035e41005ee96fa164f655950f85f4d2545a7,050200e8c8d5c586,source screenshot,PUBLIC_USED,"Primary student-authored report, source, calculation, or visual evidence."
SRC-0021,고주파공학,사진\homework2\KakaoTalk_20260414_221425558.png,480,949,0.5058,59c4e8e6295a7b8c8aece68448ac6f437fae72a2e1df48ab7d22a43c06111e0e,c1e0e1e8c4e5c586,source screenshot,PUBLIC_USED,"Primary student-authored report, source, calculation, or visual evidence."
SRC-0022,고주파공학,사진\homework2\KakaoTalk_20260414_221451343.png,481,950,0.5063,d2fbd7b91e36aa9efb987bc5e0309f53d2c80453261852207226d2db604c51d6,c1c0e1ccc4e5c186,source screenshot,PUBLIC_USED,"Primary student-authored report, source, calculation, or visual evidence."
SRC-0023,고주파공학,사진\homework2\KakaoTalk_20260414_221506800.png,476,953,0.4995,1a93e791aba72f4b9b2848de4ae306b4bf7d413072c888547fa00d7f6cbd7d9b,0102cc8c9cd54586,source screenshot,PUBLIC_USED,"Primary student-authored report, source, calculation, or visual evidence."
SRC-0024,고주파공학,사진\homework2\KakaoTalk_20260414_221514460.png,765,550,1.3909,349ce2b220d5130ad766ff010aa1c44b3100ed47c69c8cc976ee0777665bca42,bc8383821b1a1b90,source screenshot,PUBLIC_USED,"Primary student-authored report, source, calculation, or visual evidence."
SRC-0025,고주파공학,사진\homework2\KakaoTalk_20260414_221522227.png,776,551,1.4083,7e9c695750d8265bf6b3e480c6792eebb5da133c4f4de3716a9fffe26b0847fd,28d89898818a80a0,source screenshot,PUBLIC_USED,"Primary student-authored report, source, calculation, or visual evidence."
SRC-0026,고주파공학,사진\homework2\KakaoTalk_20260414_221548576.png,404,1013,0.3988,1733c0f8dfca430d3ed9e36cd2b591da50fe1d020ff344f13f9cab103d1bb9fd,4280492181b04642,source screenshot,PUBLIC_USED,"Primary student-authored report, source, calculation, or visual evidence."
SRC-0028,고주파공학,사진\homework2\스크린샷 2026-04-14 222606.png,1000,813,1.23,9c54b85fa1937386a28a7e18f6e2d78df36945cbb2a84d7ab186e84bdc1ee1da,200206160603a180,source screenshot,PUBLIC_USED,"Primary student-authored report, source, calculation, or visual evidence."
SRC-0030,고주파공학,사진\homework4\ex5-1\1.png,836,534,1.5655,725732f7f445e09f7a519f3190637187320a5084b721a0f62ec223b43712f1fa,27071f9fd707a707,source screenshot,PUBLIC_USED,"Primary student-authored report, source, calculation, or visual evidence."
SRC-0031,고주파공학,사진\homework4\ex5-1\2.png,972,615,1.5805,ecaa5ffeeb5e8b929a6f92b05e387217b3e5daa4377bea67cfaff07d027160b3,c0e4c0c0d0cc4463,source screenshot,PUBLIC_USED,"Primary student-authored report, source, calculation, or visual evidence."
SRC-0032,고주파공학,사진\homework4\ex5-1\3.png,980,663,1.4781,12cdb251b6cc792d7053598fde88f36e5b87fd0efb1d5183b7138e538e2dedb6,c04cd0d0d04c41a3,source screenshot,PUBLIC_USED,"Primary student-authored report, source, calculation, or visual evidence."
SRC-0033,고주파공학,사진\homework4\ex5-1\4.png,986,662,1.4894,9e678c9eee5a5f6edbed87c5822eb4ed4afb81d75c2fd08bed0b37fd1c32db6f,c21a1e1a1a1e8c85,source screenshot,PUBLIC_USED,"Primary student-authored report, source, calculation, or visual evidence."
SRC-0034,고주파공학,사진\homework4\ex5-1\5.png,1916,884,2.1674,38c6b2759b1899a5b5f3efd2e88cb22dc9b121734b02f5485c33694ab561a80f,8c31b3b1b1333191,source screenshot,PUBLIC_USED,"Primary student-authored report, source, calculation, or visual evidence."
SRC-0035,고주파공학,사진\homework4\ex5-1\design ex5-6.png,1025,187,5.4813,3e007a0c3af1e7dcd521720e3388d5ddedaece0ebde0d4fa74ba43759e7bff6c,002829620d6d171b,schematic/model,PUBLIC_USED,"Primary student-authored report, source, calculation, or visual evidence."
SRC-0036,고주파공학,사진\homework4\ex5-1\회로도.png,1020,435,2.3448,9752eb25fb7578be9925f7963a072bad6907471b43c0f9cd41e04943fc5cc738,00a2a2a2a2a6e808,schematic/model,PUBLIC_USED,"Primary student-authored report, source, calculation, or visual evidence."
SRC-0037,고주파공학,사진\homework4\ex5-2\db20sol1.PNG,992,787,1.2605,c41c8365f558b496c97d9148ef1a63b66a818013025b7a91d946e328596ff920,a406060606d3a180,source screenshot,PUBLIC_USED,"Primary student-authored report, source, calculation, or visual evidence."
SRC-0038,고주파공학,사진\homework4\ex5-2\db20sol2.PNG,984,683,1.4407,061edc1b5be2b20824aa2991d8548ed08b391f31430159f758edff2760a50d23,a00646260e068389,source screenshot,PUBLIC_USED,"Primary student-authored report, source, calculation, or visual evidence."
SRC-0039,고주파공학,사진\homework4\ex5-2\design ex5-7.png,1000,187,5.3476,38adc31b96dda4911dfbb2724e2411c30b13078589fdcff3edb0abfcc710d031,04060568594c3717,schematic/model,PUBLIC_USED,"Primary student-authored report, source, calculation, or visual evidence."
SRC-0040,고주파공학,사진\homework4\ex5-2\main sol1.PNG,1065,685,1.5547,3b80d1e551750995433b38c554b644bce2043d43a450a8bfc1156c33cb0e40cb,c0c0808085848420,source screenshot,PUBLIC_USED,"Primary student-authored report, source, calculation, or visual evidence."
SRC-0041,고주파공학,사진\homework4\ex5-2\main sol2.PNG,1286,591,2.176,127df3bee4af8d461f4ff4ef67f8d3c4563be43c6d1ab7a8138eb194c7e47dbe,c8c8888dcdcc89c8,source screenshot,PUBLIC_USED,"Primary student-authored report, source, calculation, or visual evidence."
