asset_id,project,original_path,width,height,selection_score,duplicate_group,preferred_source,publication_status,publication_reason,public_filename,public_locations
COU-671705ce8130,Controller Logic,학부 과제 및 프로젝트/컨트롤로직설계/04. Introduction to VHDL.pdf::page-10::Image14.png,47,21,24,EXACT-0291,COU-671705ce8130,Exact Duplicate,Byte-identical to preferred source COU-671705ce8130,,
COU-4d464849c42f,Controller Logic,학부 과제 및 프로젝트/컨트롤로직설계/04. Introduction to VHDL.pdf::page-10::Image72.jpg,806,535,27,,,Publicly Withheld,"Lower-value, incomplete, redundant-context, or unverified visual",,
COU-671705ce8130,Controller Logic,학부 과제 및 프로젝트/컨트롤로직설계/04. Introduction to VHDL.pdf::page-11::Image14.png,47,21,24,EXACT-0291,COU-671705ce8130,Exact Duplicate,Byte-identical to preferred source COU-671705ce8130,,
COU-ab634bfa9415,Controller Logic,학부 과제 및 프로젝트/컨트롤로직설계/04. Introduction to VHDL.pdf::page-11::Image78.jpg,253,328,25,,,Publicly Withheld,"Lower-value, incomplete, redundant-context, or unverified visual",,
COU-ea1b4fd2dcef,Controller Logic,학부 과제 및 프로젝트/컨트롤로직설계/04. Introduction to VHDL.pdf::page-11::Image79.jpg,461,400,26,,,Publicly Withheld,"Lower-value, incomplete, redundant-context, or unverified visual",,
COU-671705ce8130,Controller Logic,학부 과제 및 프로젝트/컨트롤로직설계/04. Introduction to VHDL.pdf::page-12::Image14.png,47,21,24,EXACT-0291,COU-671705ce8130,Exact Duplicate,Byte-identical to preferred source COU-671705ce8130,,
COU-671705ce8130,Controller Logic,학부 과제 및 프로젝트/컨트롤로직설계/04. Introduction to VHDL.pdf::page-13::Image14.png,47,21,24,EXACT-0291,COU-671705ce8130,Exact Duplicate,Byte-identical to preferred source COU-671705ce8130,,
COU-671705ce8130,Controller Logic,학부 과제 및 프로젝트/컨트롤로직설계/04. Introduction to VHDL.pdf::page-14::Image14.png,47,21,24,EXACT-0291,COU-671705ce8130,Exact Duplicate,Byte-identical to preferred source COU-671705ce8130,,
COU-eed984daad9e,Controller Logic,학부 과제 및 프로젝트/컨트롤로직설계/04. Introduction to VHDL.pdf::page-14::Image88.png,182,78,24,,,Publicly Withheld,"Lower-value, incomplete, redundant-context, or unverified visual",,
COU-671705ce8130,Controller Logic,학부 과제 및 프로젝트/컨트롤로직설계/04. Introduction to VHDL.pdf::page-15::Image14.png,47,21,24,EXACT-0291,COU-671705ce8130,Exact Duplicate,Byte-identical to preferred source COU-671705ce8130,,
COU-671705ce8130,Controller Logic,학부 과제 및 프로젝트/컨트롤로직설계/04. Introduction to VHDL.pdf::page-16::Image14.png,47,21,24,EXACT-0291,COU-671705ce8130,Exact Duplicate,Byte-identical to preferred source COU-671705ce8130,,
COU-671705ce8130,Controller Logic,학부 과제 및 프로젝트/컨트롤로직설계/04. Introduction to VHDL.pdf::page-17::Image14.png,47,21,24,EXACT-0291,COU-671705ce8130,Exact Duplicate,Byte-identical to preferred source COU-671705ce8130,,
COU-a1da41086179,Controller Logic,학부 과제 및 프로젝트/컨트롤로직설계/04. Introduction to VHDL.pdf::page-17::Image97.png,371,79,24,,,Publicly Withheld,"Lower-value, incomplete, redundant-context, or unverified visual",,
COU-4336fbf5d389,Controller Logic,학부 과제 및 프로젝트/컨트롤로직설계/04. Introduction to VHDL.pdf::page-17::Image98.png,133,68,24,,,Publicly Withheld,"Lower-value, incomplete, redundant-context, or unverified visual",,
COU-671705ce8130,Controller Logic,학부 과제 및 프로젝트/컨트롤로직설계/04. Introduction to VHDL.pdf::page-18::Image14.png,47,21,24,EXACT-0291,COU-671705ce8130,Exact Duplicate,Byte-identical to preferred source COU-671705ce8130,,
COU-671705ce8130,Controller Logic,학부 과제 및 프로젝트/컨트롤로직설계/04. Introduction to VHDL.pdf::page-19::Image14.png,47,21,24,EXACT-0291,COU-671705ce8130,Exact Duplicate,Byte-identical to preferred source COU-671705ce8130,,
COU-c6d2eeccd04a,Controller Logic,학부 과제 및 프로젝트/컨트롤로직설계/04. Introduction to VHDL.pdf::page-1::Image7.jpg,92,64,24,EXACT-0290,COU-c6d2eeccd04a,Publicly Withheld,"Lower-value, incomplete, redundant-context, or unverified visual",,
